ADDRESS,SEND_ZONE,ZONE_ID
10001,N,
10002,N,
10240,N, 
10241,N, 
10242,Y,ZC01 
11220,N,
11350,N,
11370,N,
12003,N,
12004,N,
12005,N,
12006,N,
12007,N,
12009,N,
12010,N,
12011,N,
12012,N,
12013,N,
12014,N,
12015,N,
12016,N,
12017,N,
12018,N,
12019,N,
12020,N,
12021,N,
12022,N,
12023,N,
12024,N,
12025,N,
12026,N,
12027,N,
12028,N,
12029,N,
12030,N,
12031,N,
12032,N,
12033,N,
12034,N,
12035,N,
12036,N,
12037,N,
12038,Y,ZC06
12039,N,
12040,N,
12041,N,
12042,N,
12043,N,
12100,N,
12101,N,
12102,N,
12103,N,
12104,N,
12105,Y,ZC05
12106,N,
12107,N,
12108,N,
12109,N,
12110,N,
12111,Y,ZC07
12168,N,
12169,N,
12170,N,
12171,N,
12172,N,
12173,N,
12175,N,
12176,N,
12177,N,
12178,N,
12179,N,
12180,N,
12181,N,
12182,Y,ZC08
12183,N,
12184,N,
12186,N,
12187,N,
12188,N,
12189,N,
12190,N,
12191,N,
12192,N,
12193,N,
12259,N, 
12260,N, 
12261,N, 
12262,N, 
12263,N, 
12264,N, 
12265,N, 
12266,N, 
12267,N, 
12268,N, 
12269,N, 
12270,N, 
12271,N, 
12272,N, 
12273,N, 
12274,N, 
12275,N, 
12276,N, 
12278,N, 
12279,Y,ZC02
12281,N, 
12283,N, 
12284,N, 
12285,N, 
12286,N, 
12287,N, 
12288,N, 
12289,N, 
12290,N, 
12291,N, 
12292,N, 
12293,N, 
12294,N, 
12295,N, 
12296,N, 
12297,N, 
12298,N, 
12299,N, 
12300,N, 
12301,N, 
12302,N, 
12303,N,
12304,N,
12305,N,
12306,N,
12307,N,
12308,N,
12309,N,
12310,N,
12311,N,
12312,N,
12313,Y,ZC02
12314,N,
12315,N,
12316,N,
12317,N,
12318,N,
12319,Y,ZC03
12320,N,
12322,N,1
12324,N,
12325,N,
12326,N,
12327,N,
12328,N,
12400,N,
12401,N,
12402,N,
12403,N,
12404,N,
12405,N,
12406,N,
12407,N,
12408,N,
12409,N,
12411,N,
12413,N,
12415,Y,ZC04
12416,N,
12450,N,
13008,N,
13185,N,
13277,N, 
13280,N, 
13282,N, 
13321,N,
13323,N,
13410,N,
13412,N,
13414,N,
15150,N,
15174,N,
